Country Name,Country Code,Indicator Name,Indicator Code,Year,Value
United States,USA,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,1960,17578.1373166621
United States,USA,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,1960,1.45797598627786
United States,USA,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,1961,17686.7915086904
United States,USA,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,1961,1.35015389642166
United States,USA,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,1961,1.07072414764723
United States,USA,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,1962,18479.2781555675
United States,USA,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,1962,1.24463471200144
United States,USA,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,1962,1.19877334820185
United States,USA,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,1963,19016.7058183749
United States,USA,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,1963,1.08838601136836
United States,USA,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,1963,1.2396694214876
United States,USA,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,1964,19842.1352456097
United States,USA,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,1964,1.50393967901161
United States,USA,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,1964,1.27891156462583
United States,USA,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,1965,20849.7382413759
United States,USA,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,1965,1.91982581124751
United States,USA,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,1965,1.58516926383669
United States,USA,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,1966,21950.0026675442
United States,USA,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,1966,2.89877853468326
United States,USA,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,1966,3.01507537688439
United States,USA,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,1967,22255.0970119611
United States,USA,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,1967,3.15127936555434
United States,USA,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,1967,2.77278562259307
United States,USA,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,1968,23091.6259087319
United States,USA,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,1968,4.36718824053682
United States,USA,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,1968,4.27179615288534
United States,USA,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,1969,23575.9426752751
United States,USA,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,1969,4.9584884495751
United States,USA,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,1969,5.4623862002875
United States,USA,GNI per capita (constant 2010 US$),NY.GNP.PCAP.KD,1970,23259.6476224762
United States,USA,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,1970,23207.2199371855
United States,USA,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,1970,5.66986629689434
United States,USA,Adjusted net national income per capita (constant 2010 US$),NY.ADJ.NNTY.PC.KD,1970,20904.5944381986
United States,USA,Gross national expenditure (constant 2010 US$),NE.DAB.TOTL.KD,1970,4909982837371.42
United States,USA,Final consumption expenditure (constant 2010 US$),NE.CON.TOTL.KD,1970,4112329556125.48
United States,USA,Households and NPISHs Final consumption expenditure per capita (constant 2010 US$),NE.CON.PRVT.PC.KD,1970,14407.4993282306
United States,USA,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,1970,5.83825533848253
United States,USA,GNI per capita (constant 2010 US$),NY.GNP.PCAP.KD,1971,23737.0295628204
United States,USA,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,1971,23670.3457306041
United States,USA,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,1971,5.06915659206986
United States,USA,Adjusted net national income per capita (constant 2010 US$),NY.ADJ.NNTY.PC.KD,1971,21194.955527342
United States,USA,Gross national expenditure (constant 2010 US$),NE.DAB.TOTL.KD,1971,5074720955819.78
United States,USA,Final consumption expenditure (constant 2010 US$),NE.CON.TOTL.KD,1971,4233595819196.99
United States,USA,Households and NPISHs Final consumption expenditure per capita (constant 2010 US$),NE.CON.PRVT.PC.KD,1971,14769.783834907
United States,USA,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,1971,4.29276668813045
United States,USA,GNI per capita (constant 2010 US$),NY.GNP.PCAP.KD,1972,24723.0900900592
United States,USA,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,1972,24649.8447361569
United States,USA,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,1972,4.3227633145265
United States,USA,Adjusted net national income per capita (constant 2010 US$),NY.ADJ.NNTY.PC.KD,1972,22113.2422079078
United States,USA,Gross fixed capital formation (constant 2010 US$),NE.GDI.FTOT.KD,1972,898894814072.499
United States,USA,Gross national expenditure (constant 2010 US$),NE.DAB.TOTL.KD,1972,5342796100874.53
United States,USA,Final consumption expenditure (constant 2010 US$),NE.CON.TOTL.KD,1972,4435920158448.98
